product_name;brand;category;price;promo_price;volume_ml;rating;review_count;shade_count;shades;finish_type;coverage_level;skin_type;availability;Prix au ml;source_url
Eaze Drop Blur + Smooth Tint Stick;Fenty Beauty;Foundations & Concealers;38;null;9;null;null;20;#2 #3 #4 #5 #6 #7 #8 #9 #10 #11 #12 #13 #15 #17 #18 #19 #20 #21 #24 #25;naturel;léger;mixte;en stock;4,222222222;https://fentybeauty.com/en-fr/products/eaze-drop-skin-tint-foundation-stick-2
Eaze Drop Lightweight Blurring Skin Tint;Fenty Beauty;Foundations & Concealers;38;null;32;null;null;20;#2 #3 #4 #5 #6 #7 #8 #9 #10 #11 #12 #13 #15 #17 #18 #19 #20 #21 #24 #25;naturel;léger;mixte;en stock;1,1875;https://fentybeauty.com/en-fr/products/eaze-drop-lightweight-blurring-skin-tint-2
Pro Filt'r Soft Matte Longwear Foundation;Fenty Beauty;Foundations & Concealers;39,9;null;32;null;null;45;#120 #125 #130 #140 #150 #170 #175 #185 #190 #200 #210 #220 #225 #230 #235 #240 #250 #260 #265 #280 #290 #295 #300 #310 #315 #330 #335 #345 #350 #360 #370 #385 #390 #400 #410 #420 #425 #430 #440 #445 #450 #480 #490 #495 #498;mat;couvrant;grasse;en stock;1,246875;https://fentybeauty.com/en-fr/products/pro-filtr-soft-matte-longwear-foundation-420
Pro Filt'r Soft Matte Powder Foundation;Fenty Beauty;Foundations & Concealers;23;45;9;null;null;7;#110 #180 #250 #255 #470 #480 #490;mat;léger;grasse;rupture;2,555555556;https://fentybeauty.com/en-fr/products/pro-filtr-soft-matte-powder-foundation-180
Soft'lit Naturally Luminous Longwear Foundation;Fenty Beauty;Foundations & Concealers;39,9;null;32;null;null;33;#120 #125 #140 #150 #170 #175 #185 #190 #200 #210 #220 #225 #230 #235 #240 #250 #260 #265 #280 #290 #295 #300 #310 #315 #330 #335 #345 #350 #360 #370 #385 #420 #498;lumineux;moyen;sŹche;en stock;1,246875;https://fentybeauty.com/en-fr/products/softlit-naturally-luminous-longwear-foundation-420
Hydra Vizor Huez SPF 30 Refillable Tinted Moisturizer Set;Fenty Skin;Foundations & Concealers;42;null;32;null;null;1;;naturel;léger;mixte;en stock;1,3125;https://fentybeauty.com/en-fr/products/hydra-vizor-huez-spf-30-refillable-tinted-moisturizer-set
Hydra Vizor Huez Tinted Moisturizer Broad Spectrum Mineral SPF 30 Sunscreen Refill;Fenty Skin;Foundations & Concealers;37;null;32;null;null;3;#4 #6 #10;naturel;léger;mixte;en stock;1,15625;https://fentybeauty.com/en-fr/products/hydra-vizor-huez-tinted-moisturizer-broad-spectrum-mineral-spf-30-sunscreen-refill-6
Accord Parfait Foundation;L'Oréal Paris;fond de teint;14,99;11,99;30;4,2;1567;33;;naturel;moyenne;tous types;En stock;0,499666667;https://www.sephora.fr/p/accord-parfait-foundation-P10009821.html
Age Perfect Radiant Concealer;L'Oréal Paris;correcteur;13,99;null;10;4,4;743;10;;lumineux;moyenne;sŹche / sensible;En stock;1,399;https://www.sephora.fr/p/age-perfect-radiant-concealer-P10022876.html
Age Perfect Radiant Foundation SPF 15;L'Oréal Paris;fond de teint;17,99;null;30;4,3;612;18;;lumineux;légŹre;sŹche / sensible;En stock;0,599666667;https://www.sephora.fr/p/age-perfect-radiant-foundation-spf15-P10021347.html
Bambi Eye Mascara;L'Oréal Paris;yeux;13,99;null;9,9;4,4;1543;2;;;;;En stock;1,413131313;https://www.sephora.fr/p/bambi-eye-mascara-P10029876.html
Brilliant Signature Liquid Lipstick;L'Oréal Paris;lŹvres;12,99;null;6,4;4,4;721;18;;lumineux;;;En stock;2,0296875;https://www.sephora.fr/p/brilliant-signature-liquid-lipstick-P10047109.html
Color Queen Oil Shadow;L'Oréal Paris;yeux;10,99;null;null;4,2;456;24;;lumineux;;;En stock;null;https://www.sephora.fr/p/color-queen-oil-shadow-P10041287.html
Color Riche Free the Nudes Lipstick;L'Oréal Paris;lŹvres;12,99;null;null;4,4;876;16;;satiné;;;En stock;null;https://www.sephora.fr/p/color-riche-free-the-nudes-P10069834.html
Color Riche Plump & Shine Lipstick;L'Oréal Paris;lŹvres;13,99;null;null;4,3;489;11;;lumineux;;;En stock;null;https://www.sephora.fr/p/color-riche-plump-shine-lipstick-P10055671.html
Color Riche Satin Lipstick;L'Oréal Paris;lŹvres;11,99;8,99;null;4,5;3241;60;;satiné;;;En stock;null;https://www.sephora.fr/p/color-riche-satin-lipstick-P10003421.html
Glam Bronze Powder;L'Oréal Paris;blush & bronzer;14,99;11,99;10;4,5;1023;5;;lumineux;;tous types;En stock;1,499;https://www.sephora.fr/p/glam-bronze-powder-P10008765.html
Infaillible 24H Eye Shadow;L'Oréal Paris;yeux;9,99;7,49;null;4,1;678;30;;mat;;;En stock;null;https://www.sephora.fr/p/infaillible-24h-eye-shadow-P10015678.html
Infaillible 24H Fresh Wear Foundation;L'Oréal Paris;fond de teint;16,99;null;30;4,4;1284;35;;mat;totale;grasse / mixte;En stock;0,566333333;https://www.sephora.fr/p/infaillible-24h-fresh-wear-foundation-P10030467.html
Infaillible 24H Fresh Wear Foundation en Poudre;L'Oréal Paris;fond de teint;18,99;null;9;4,1;534;20;;mat;moyenne;grasse / mixte;En stock;2,11;https://www.sephora.fr/p/infaillible-24h-fresh-wear-foundation-poudre-P10051234.html
Infaillible 24H Fresh Wear Loose Powder;L'Oréal Paris;blush & bronzer;14,99;null;17;4,3;543;4;;mat;légŹre;grasse / mixte;En stock;0,881764706;https://www.sephora.fr/p/infaillible-24h-fresh-wear-loose-powder-P10067891.html
Infaillible 24H Matte Lip Liner;L'Oréal Paris;lŹvres;9,99;null;null;4,2;634;12;;mat;;;En stock;null;https://www.sephora.fr/p/infaillible-24h-matte-lip-liner-P10043298.html
Infaillible 32H Matte Cover Foundation;L'Oréal Paris;fond de teint;16,99;null;30;4,3;876;30;;mat;totale;grasse;En stock;0,566333333;https://www.sephora.fr/p/infaillible-32h-matte-cover-foundation-P10064782.html
Infaillible Blush Paint;L'Oréal Paris;blush & bronzer;12,99;null;9;4,2;387;6;;satiné;;tous types;Rupture;1,443333333;https://www.sephora.fr/p/infaillible-blush-paint-P10070123.html
Infaillible Full Wear Concealer Waterproof;L'Oréal Paris;correcteur;13,99;10,99;10;4,6;2145;27;;mat;totale;tous types;En stock;1,399;https://www.sephora.fr/p/infaillible-full-wear-concealer-waterproof-P10073412.html
Infaillible Grip 36H Gel Automatic Eyeliner;L'Oréal Paris;yeux;11,99;null;null;4,6;1234;8;;;;;En stock;null;https://www.sephora.fr/p/infaillible-grip-36h-gel-eyeliner-P10064312.html
Infaillible Matte Resistance Liquid Lipstick;L'Oréal Paris;lŹvres;13,99;null;5;4,5;1102;20;;mat;;;En stock;2,798;https://www.sephora.fr/p/infaillible-matte-resistance-liquid-lipstick-P10061234.html
Infaillible More Than Concealer;L'Oréal Paris;correcteur;13,99;null;11;4,5;1423;25;;mat;totale;tous types;En stock;1,271818182;https://www.sephora.fr/p/infaillible-more-than-concealer-P10049023.html
Infaillible More Than Foundation;L'Oréal Paris;fond de teint;17,99;null;30;4,4;943;28;;satiné;totale;mixte / sŹche;En stock;0,599666667;https://www.sephora.fr/p/infaillible-more-than-foundation-P10047832.html
Matte Signature Liquid Eyeliner;L'Oréal Paris;yeux;10,99;null;null;4,3;891;5;;mat;;;En stock;null;https://www.sephora.fr/p/matte-signature-liquid-eyeliner-P10058234.html
Paradise Mascara Waterproof;L'Oréal Paris;yeux;14,99;null;6,4;4,5;1987;1;;;;;En stock;2,3421875;https://www.sephora.fr/p/paradise-mascara-waterproof-P10038921.html
Telescopic Lift Mascara;L'Oréal Paris;yeux;14,99;null;9,9;4,6;2312;1;;;;;En stock;1,514141414;https://www.sephora.fr/p/telescopic-lift-mascara-P10072341.html
True Match Blush;L'Oréal Paris;blush & bronzer;13,99;null;6;4,4;876;7;;satiné;;tous types;En stock;2,331666667;https://www.sephora.fr/p/true-match-blush-P10011234.html
True Match Concealer;L'Oréal Paris;correcteur;11,99;null;6,8;4,3;987;18;;naturel;modulable;tous types;En stock;1,763235294;https://www.sephora.fr/p/true-match-concealer-P10007654.html
True Match Healthy Glow Bronzing Powder;L'Oréal Paris;blush & bronzer;15,99;null;12;4,4;712;3;;lumineux;;tous types;En stock;1,3325;https://www.sephora.fr/p/true-match-healthy-glow-bronzing-powder-P10054321.html
True Match Nude Hyaluronic Tinted Serum;L'Oréal Paris;fond de teint;16,99;null;30;4,6;1891;12;;naturel;légŹre;tous types;En stock;0,566333333;https://www.sephora.fr/p/true-match-nude-hyaluronic-tinted-serum-P10068901.html
True Match Super-Blendable Foundation;L'Oréal Paris;fond de teint;14,99;null;30;4,5;2103;40;;naturel;modulable;tous types;En stock;0,499666667;https://www.sephora.fr/p/true-match-super-blendable-foundation-P10012884.html
Voluminous Original Mascara;L'Oréal Paris;yeux;12,99;null;8;4,3;2876;2;;;;;En stock;1,62375;https://www.sephora.fr/p/voluminous-original-mascara-P10001234.html
Aqua XL-Pro Longwear Matte Foundation;MAKE UP FOR EVER;fond de teint;39;null;30;4,5;418;40;;mat;totale;grasse / mixte;en stock;1,3;https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/aqua-xl-pro-longwear-matte-foundation
Artist Cover Longwear Full Coverage Concealer;MAKE UP FOR EVER;correcteur;32;null;10;4,5;421;45;;mat;totale;tous types;en stock;3,2;https://www.makeupforever.com/fr/fr/teint/correcteurs-anti-cernes/artist-cover-longwear-full-coverage-concealer
Full Cover Waterproof Concealer;MAKE UP FOR EVER;correcteur;35;null;15;4,8;567;40;;mat;totale;;en stock;2,333333333;https://www.makeupforever.com/fr/fr/teint/correcteurs-anti-cernes/full-cover-waterproof-concealer
HD Skin Foundation;MAKE UP FOR EVER;fond de teint;42;null;30;4,6;524;40;;lumineux;moyenne a haute;grasse / sŹche / mixte;en stock;1,4;https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/hd-skin-foundation
HD Skin Mist & Set Setting Spray;MAKE UP FOR EVER;fond de teint;34;null;100;4,6;342;1;;;;;en stock;0,34;https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/hd-skin-mist-set-setting-spray
Matte Velvet Skin Blurring Powder Foundation;MAKE UP FOR EVER;fond de teint;36;null;11;4,2;198;35;;mat;totale;grasse;en stock;3,272727273;https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/matte-velvet-skin-blurring-powder-foundation
Reboot Active Care Revitalizing Foundation;MAKE UP FOR EVER;fond de teint;48;33,6;30;4,4;312;35;;naturel;modulable;tous types;en stock;1,6;https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/reboot-active-care-revitalizing-foundation
Sens'Eyes Eye Contour Concealer;MAKE UP FOR EVER;correcteur;38;null;7,5;4,3;198;20;;lumineux;totale;sensible / sŹche;en stock;5,066666667;https://www.makeupforever.com/fr/fr/teint/correcteurs-anti-cernes/sens-eyes-eye-contour-concealer
Ultra HD Invisible Cover Foundation;MAKE UP FOR EVER;fond de teint;45;null;30;4,7;693;45;;lumineux;totale;sŹche / sensible;en stock;1,5;https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/ultra-hd-invisible-cover-foundation
Underpainting Color Correcting Pen;MAKE UP FOR EVER;correcteur;29;null;3;4,4;289;4;;mat;modulable;;en stock;9,66666667;https://www.makeupforever.com/fr/fr/teint/correcteurs-anti-cernes/underpainting-color-correcting-pen
Watertone Skin-Improving Water Cream Foundation;MAKE UP FOR EVER;fond de teint;44;null;30;4,3;276;30;;naturel;legere;sŹche / sensible;en stock;1,466666667;https://www.makeupforever.com/fr/fr/teint/fonds-de-teint/watertone-skin-improving-water-cream-foundation
LIGHT REFLECTING EYE BRIGHTENER;NARS;correcteur;39;null;6;4,5;124;6;;Lumineux;;sŹche;en stock;6,5;https://www.narscosmetics.fr/fr/light-reflecting-eye-brightener/999NAC0000171.html
Light Reflecting Advanced Skincare Foundation;NARS;fond de teint;56;null;30;4,5;732;47;;;;sŹche / sensible;en stock;1,866666667;https://www.narscosmetics.fr/fr/light-reflecting-advanced-skincare-foundation/999NAC0000141.html
Mini Radiant Creamy Concealer;NARS;correcteur;19;null;1,4;4,6;165;30;;Rayonnant;;sŹche / tous types;en stock;13,57142857;https://www.narscosmetics.fr/fr/mini-radiant-creamy-concealer/999NARSBTGRCC.html
NATURAL MATTE LONGWEAR FOUNDATION;NARS;fond de teint;56;null;30;4,7;188;45;;;Moyenne ą totale;grasse / sŹche;en stock;1,866666667;https://www.narscosmetics.fr/fr/natural-matte-longwear-foundation/999NAC0000285.html
Natural Radiant Longwear Foundation;NARS;fond de teint;56;null;30;4,4;821;33;;;Moyenne ą totale;sŹche;en stock;1,866666667;https://www.narscosmetics.fr/fr/natural-radiant-longwear-foundation/999NAC0000065.html
Radiant Creamy Concealer;NARS;correcteur;37;null;6;4,7;894;30;;Rayonnant;;sŹche / tous types;en stock;6,166666667;https://www.narscosmetics.fr/fr/radiant-creamy-concealer/999NACRCC0001.html
Sheer Glow Foundation;NARS;fond de teint;52;null;30;4,5;677;34;;Naturel;;sŹche;en stock;1,733333333;https://www.narscosmetics.fr/fr/sheer-glow-foundation/999NACSGLWF01.html
Soft Matte Complete Concealer;NARS;correcteur;37;null;6,2;4,7;493;30;;Lisse et mat;Totale;;en stock;5,967741935;https://www.narscosmetics.fr/fr/soft-matte-complete-concealer/999NAC0000045.html
Soft Matte Complete Foundation;NARS;fond de teint;46;27,6;45;4,3;461;30;;;;grasse / sŹche;en stock;1,022222222;https://www.narscosmetics.fr/fr/soft-matte-complete-foundation/999NAC0000112.html
Soin hydratant teinté Pure Radiant SPF 30/PA+++;NARS;fond de teint;51;null;50;4,7;489;16;;Rayonnant;;grasse / sŹche / tous types;en stock;1,02;https://www.narscosmetics.fr/fr/soin-hydratant-teint%C3%A9-pure-radiant-spf-30-pa/999NACTINTED9.html
